Study V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58
ankle_spacing_width -9.72975677725789 5.27384930418534 0 0 0 0 0 0 0 16.6750547859701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31.6680568182048 0 0 0 -50.7137426199134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
coxarthrosis -20.1451271021261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
heel_bone_mineral_density -1.95716584546236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -83.4849640669975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
internal_derangement_knee -25.4883325236437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
standing_height 5.84799643291737 45.3992778323139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
asthma -44.781120819829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chest_pain_when_walking -53.6123656507689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
cough -24.5998094872208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FEV1 10.4288415536404 -0.376100515187324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12.6070151793157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48.9812802878686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FEV1_FVC_ratio -0.850337193851106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -55.9569561182984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
forced_vital_capacity 7.70130131102549 10.8493426805444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.16470838487951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31.7984556782386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hayfever_allergic_rhinitis -5.74654555704408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
nasal_polyps -21.3779003015427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
peak_expiratory_flow 3.14547409606209 6.33721212056798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15.476292542664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.5380511977553 0 -3.44701952269172 0 0 0 8.45292012927722 0 0 0 0 0 0 0 0 0 0 0 0
age_at_first_intercourse 16.1525091560857 2.39012942115707 0 0 0 0 0 0 0 0 0 0 0 27.5416748924169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
